id,sentiment,timestamp
1270094300706222081,1,2020-06-08 20:44:13
1270093605730947072,1,2020-06-08 20:41:27
1270092873971781637,0,2020-06-08 20:38:32
1270092545025024000,1,2020-06-08 20:37:14
1270092227000381440,1,2020-06-08 20:35:58
1270090919765778438,1,2020-06-08 20:30:47
1270090312640233472,-1,2020-06-08 20:28:22
1270089945177260033,0,2020-06-08 20:26:54
1270089576472653833,-1,2020-06-08 20:25:26
1270088935415349249,-1,2020-06-08 20:22:53
1270088533513048066,0,2020-06-08 20:21:18
1270087849245700096,1,2020-06-08 20:18:35
1270086925240676354,0,2020-06-08 20:14:54
1270086392052436993,1,2020-06-08 20:12:47
1270086167774531584,1,2020-06-08 20:11:54
1270085921833132032,1,2020-06-08 20:10:55
1270085858042011649,1,2020-06-08 20:10:40
1270085817936027648,1,2020-06-08 20:10:30
1270085799476957184,1,2020-06-08 20:10:26
1270085761212338176,0,2020-06-08 20:10:17
1270085127473856514,1,2020-06-08 20:07:46
1270084381286313990,1,2020-06-08 20:04:48
1270083702039678990,0,2020-06-08 20:02:06
1270083186853384193,0,2020-06-08 20:00:03
1270082926185795586,0,2020-06-08 19:59:01
1270082766277955588,-1,2020-06-08 19:58:23
1270082514585923584,-1,2020-06-08 19:57:23
1270080976677371905,1,2020-06-08 19:51:16
1270080907731283970,1,2020-06-08 19:51:00
1270080426875539456,1,2020-06-08 19:49:05
1270079931779821570,0,2020-06-08 19:47:07
1270079930576101377,1,2020-06-08 19:47:07
1270079910279819275,1,2020-06-08 19:47:02
1270079857091850248,1,2020-06-08 19:46:49
1270079123382243328,1,2020-06-08 19:43:54
1270079063701557251,-1,2020-06-08 19:43:40
1270077362806362118,-1,2020-06-08 19:36:54
1270077053967175680,1,2020-06-08 19:35:41
1270076950502166528,1,2020-06-08 19:35:16
1270076874555830272,1,2020-06-08 19:34:58
1270076521751994374,0,2020-06-08 19:33:34
1270076163113787393,1,2020-06-08 19:32:08
1270076146919575555,0,2020-06-08 19:32:04
1270075657683456000,1,2020-06-08 19:30:08
1270075588930396161,1,2020-06-08 19:29:51
1270075551466819584,0,2020-06-08 19:29:42
1270074849738833920,-1,2020-06-08 19:26:55
1270074840100241414,-1,2020-06-08 19:26:53
1270074558402441218,0,2020-06-08 19:25:46
1270074162854473730,-1,2020-06-08 19:24:11
1270073860562575365,0,2020-06-08 19:22:59
1270073841633632258,0,2020-06-08 19:22:55
1270073264308727810,0,2020-06-08 19:20:37
1270072363829334018,1,2020-06-08 19:17:02
1270071865759772672,1,2020-06-08 19:15:04
1270071654090182659,1,2020-06-08 19:14:13
1270071144092020736,0,2020-06-08 19:12:12
1269781151687696384,1,2020-06-07 23:59:52
1269781115755204610,1,2020-06-07 23:59:44
1269780718118371328,1,2020-06-07 23:58:09
1269779638307500032,0,2020-06-07 23:53:51
1269779629432360960,1,2020-06-07 23:53:49
1269779488549810182,0,2020-06-07 23:53:16
1269779293204332545,-1,2020-06-07 23:52:29
1269778160062730242,1,2020-06-07 23:47:59
1269778049656074242,0,2020-06-07 23:47:33
1269777337148600320,1,2020-06-07 23:44:43
1269777317213220865,1,2020-06-07 23:44:38
1269777207313993728,1,2020-06-07 23:44:12
1269777086690050049,0,2020-06-07 23:43:43
1269776976451174400,0,2020-06-07 23:43:17
1269776792082165770,-1,2020-06-07 23:42:33
1269776622368043009,1,2020-06-07 23:41:52
1269776604760178688,0,2020-06-07 23:41:48
1269776548225150976,1,2020-06-07 23:41:35
1269776491300225025,0,2020-06-07 23:41:21
1269776461906337792,1,2020-06-07 23:41:14
1269776147367288832,1,2020-06-07 23:39:59
1269775801622441985,0,2020-06-07 23:38:37
1269775729706840068,-1,2020-06-07 23:38:19
1269775266538229763,1,2020-06-07 23:36:29
1269774533067710464,0,2020-06-07 23:33:34
1269774130603327489,1,2020-06-07 23:31:58
1269773685717643266,0,2020-06-07 23:30:12
1269773617262473216,1,2020-06-07 23:29:56
1269773337674293248,1,2020-06-07 23:28:49
1269773193964777474,1,2020-06-07 23:28:15
1269773193964777474,0,2020-06-07 23:28:15
1269772147377016832,-1,2020-06-07 23:24:05
1269771813086810114,1,2020-06-07 23:22:46
1269771420399263744,-1,2020-06-07 23:21:12
1269771154996289536,-1,2020-06-07 23:20:09
1269769888576548864,1,2020-06-07 23:15:07
1269768902399188992,0,2020-06-07 23:11:12
1269767192289181696,0,2020-06-07 23:04:24
1269767192289181696,-1,2020-06-07 23:04:24
1269766647994150912,0,2020-06-07 23:02:14
1269766367781294081,0,2020-06-07 23:01:07
1269766207424606209,0,2020-06-07 23:00:29
1269765843056984074,0,2020-06-07 22:59:02
1269765431285493760,-1,2020-06-07 22:57:24
1269765431285493760,1,2020-06-07 22:57:24
1269765280437276672,0,2020-06-07 22:56:48
1269764438632079360,-1,2020-06-07 22:53:27
1269764438632079360,1,2020-06-07 22:53:27
1269764361557610500,-1,2020-06-07 22:53:09
1269764361557610500,1,2020-06-07 22:53:09
1269763785176297472,1,2020-06-07 22:50:52
1269763446431551488,1,2020-06-07 22:49:31
1269763382930026496,-1,2020-06-07 22:49:16
1269762484367491072,1,2020-06-07 22:45:41
1269762081622036481,-1,2020-06-07 22:44:05
1269761386160283649,1,2020-06-07 22:41:20
1269759773219659778,0,2020-06-07 22:34:55
1269759574115901440,1,2020-06-07 22:34:08
1269758837340418049,1,2020-06-07 22:31:12
1269758798375399424,0,2020-06-07 22:31:03
1269758243020115968,0,2020-06-07 22:28:50
1269757712604303366,-1,2020-06-07 22:26:44
1269757639149465600,1,2020-06-07 22:26:26
1269757283120095234,0,2020-06-07 22:25:01
1269756599633092608,0,2020-06-07 22:22:18
1269755994193702917,1,2020-06-07 22:19:54
1269755224878534657,0,2020-06-07 22:16:51
1269755224878534657,1,2020-06-07 22:16:51
1269754277506973696,0,2020-06-07 22:13:05
1269754217771778048,-1,2020-06-07 22:12:51
1269753657739878401,-1,2020-06-07 22:10:37
1269753571643469831,1,2020-06-07 22:10:17
1269752894288510978,-1,2020-06-07 22:07:35
1269752739904524300,0,2020-06-07 22:06:58
1269752739904524300,1,2020-06-07 22:06:58
1269750822214053888,1,2020-06-07 21:59:21
1269750740429549568,1,2020-06-07 21:59:02
1269748852896215042,1,2020-06-07 21:51:31
1269748780787658753,1,2020-06-07 21:51:14
1269748018523316225,0,2020-06-07 21:48:13
1269748003763560449,0,2020-06-07 21:48:09
1269747389830762501,1,2020-06-07 21:45:43
1269747240144375810,1,2020-06-07 21:45:07
1269747240144375810,0,2020-06-07 21:45:07
1269746831904235522,1,2020-06-07 21:43:30
1269746695547416576,1,2020-06-07 21:42:57
1269746513418297345,-1,2020-06-07 21:42:14
1269746322653003778,1,2020-06-07 21:41:28
1269746075868504066,0,2020-06-07 21:40:29
1269746075868504066,-1,2020-06-07 21:40:29
1269744790775533568,-1,2020-06-07 21:35:23
1269744582893252608,-1,2020-06-07 21:34:33
1269743987709091840,1,2020-06-07 21:32:12
1269743719881887744,-1,2020-06-07 21:31:08
1269742546202365955,1,2020-06-07 21:26:28
1269741972530401280,0,2020-06-07 21:24:11
1269741828498165762,-1,2020-06-07 21:23:37
1269740255852232705,-1,2020-06-07 21:17:22
1269740240404701184,0,2020-06-07 21:17:18
1269740203524177923,0,2020-06-07 21:17:09
1269740143025455104,0,2020-06-07 21:16:55
1269739108928192517,1,2020-06-07 21:12:48
1269738872163848192,1,2020-06-07 21:11:52
1269738276962910208,1,2020-06-07 21:09:30
1269738276962910208,0,2020-06-07 21:09:30
1269738058552926214,0,2020-06-07 21:08:38
1269737126654095366,0,2020-06-07 21:04:56
1269737090633404417,0,2020-06-07 21:04:47
1269736712886005761,1,2020-06-07 21:03:17
1269736350971985921,-1,2020-06-07 21:01:51
1269736224434028544,0,2020-06-07 21:01:21
1269735914265329664,1,2020-06-07 21:00:07
1269735306942541824,-1,2020-06-07 20:57:42
1269734769883045888,1,2020-06-07 20:55:34
1269734534544793601,0,2020-06-07 20:54:38
1269734447676563458,1,2020-06-07 20:54:17
1269734019148722177,0,2020-06-07 20:52:35
1269733830786768896,1,2020-06-07 20:51:50
1269732275291222016,-1,2020-06-07 20:45:39
1269731597621825537,-1,2020-06-07 20:42:58
1269730868886671361,1,2020-06-07 20:40:04
